Main.Studies.MarkerTracking.t,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftShoulder.SternoClavicularProtraction,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftShoulder.ScapulaClavicularElevation,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftShoulder.SternoClavicularAxialRotation
 2.105000000000000e+001,-2.713623927512884e-001,-3.572972164466748e-001,-3.490622198660939e-001
 2.106000000000000e+001,-2.714443924328105e-001,-3.573444626089173e-001,-3.490621942916431e-001
 2.107000000000000e+001,-2.715772035188582e-001,-3.573789336042799e-001,-3.490621676983363e-001
 2.108000000000000e+001,-2.717374233831814e-001,-3.573956659602531e-001,-3.490621398128389e-001
 2.109000000000000e+001,-2.719022852036793e-001,-3.573907463857813e-001,-3.490621104214821e-001
 2.110000000000000e+001,-2.720524758321240e-001,-3.573635290692316e-001,-3.490620793810744e-001
 2.111000000000000e+001,-2.721684612053533e-001,-3.573159508187105e-001,-3.490620465529329e-001
 2.112000000000000e+001,-2.722283870736896e-001,-3.572503634903377e-001,-3.490620117518298e-001
 2.113000000000000e+001,-2.722103727358242e-001,-3.571677945109144e-001,-3.490619747546502e-001
 2.114000000000000e+001,-2.720968535458879e-001,-3.570670989813678e-001,-3.490619353685303e-001
 2.115000000000000e+001,-2.718797518750011e-001,-3.569448428720534e-001,-3.490618935827567e-001
 2.116000000000000e+001,-2.715637725331900e-001,-3.567958751082201e-001,-3.490618497202807e-001
 2.117000000000000e+001,-2.711651063087305e-001,-3.566146142540192e-001,-3.490618044370772e-001
 2.118000000000000e+001,-2.707075939024448e-001,-3.563966085517214e-001,-3.490617585870231e-001
 2.119000000000000e+001,-2.702198057413502e-001,-3.561396077399182e-001,-3.490617130735415e-001
 2.120000000000000e+001,-2.697343981715885e-001,-3.558441745823642e-001,-3.490616687555693e-001
 2.121000000000000e+001,-2.692896868790002e-001,-3.555145943059164e-001,-3.490616264494555e-001
 2.122000000000000e+001,-2.689294727342244e-001,-3.551595137949013e-001,-3.490615869556792e-001
 2.123000000000000e+001,-2.686965673329519e-001,-3.547906223013719e-001,-3.490615509694454e-001
 2.124000000000000e+001,-2.686236173304842e-001,-3.544195274833679e-001,-3.490615189497443e-001
 2.125000000000000e+001,-2.687275962456885e-001,-3.540555367321328e-001,-3.490614911050499e-001
 2.126000000000000e+001,-2.690089332459062e-001,-3.537064065503217e-001,-3.490614674660360e-001
 2.127000000000000e+001,-2.694540467363905e-001,-3.533811917421468e-001,-3.490614480022482e-001
 2.128000000000000e+001,-2.700396113868722e-001,-3.530928790701806e-001,-3.490614328128585e-001
 2.129000000000000e+001,-2.707359083580583e-001,-3.528591273581327e-001,-3.490614223307986e-001
 2.130000000000000e+001,-2.715084553543057e-001,-3.527011925733212e-001,-3.490614174500526e-001
 2.131000000000000e+001,-2.723186554457900e-001,-3.526422682212909e-001,-3.490614195617630e-001
 2.132000000000000e+001,-2.731231659057081e-001,-3.527056442034686e-001,-3.490614304705370e-001
 2.133000000000000e+001,-2.738723270882504e-001,-3.529130487919434e-001,-3.490614521810639e-001
 2.134000000000000e+001,-2.745089624279173e-001,-3.532835681623423e-001,-3.490614866562388e-001
 2.135000000000000e+001,-2.749673290050472e-001,-3.538303578188264e-001,-3.490615355578044e-001
 2.136000000000000e+001,-2.751753097876248e-001,-3.545531133540387e-001,-3.490615998156191e-001
 2.137000000000000e+001,-2.750692042522992e-001,-3.554305935234088e-001,-3.490616789963837e-001
 2.138000000000000e+001,-2.746210188257978e-001,-3.564176820691103e-001,-3.490617705120954e-001
 2.139000000000000e+001,-2.738607425500714e-001,-3.574464120489169e-001,-3.490618686819298e-001
 2.140000000000000e+001,-2.728758482202742e-001,-3.584321563103512e-001,-3.490619645365877e-001
 2.141000000000000e+001,-2.717843983013892e-001,-3.592900030557087e-001,-3.490620478315303e-001
 2.142000000000000e+001,-2.706984712675958e-001,-3.599559859599073e-001,-3.490621104762208e-001
 2.143000000000000e+001,-2.697035087507224e-001,-3.603971497758969e-001,-3.490621485940097e-001
 2.144000000000000e+001,-2.688578827318863e-001,-3.606056941026032e-001,-3.490621623304591e-001
 2.145000000000000e+001,-2.681960380025827e-001,-3.605870538604696e-001,-3.490621546025195e-001
 2.146000000000000e+001,-2.677247479458725e-001,-3.603515908677271e-001,-3.490621296177865e-001
 2.147000000000000e+001,-2.674184900362163e-001,-3.599132194933321e-001,-3.490620915790972e-001
 2.148000000000000e+001,-2.672263230191647e-001,-3.592916294252657e-001,-3.490620440447265e-001
 2.149000000000000e+001,-2.670904720175338e-001,-3.585119989134717e-001,-3.490619898818466e-001
 2.150000000000000e+001,-2.669635207553250e-001,-3.576011372406667e-001,-3.490619313566634e-001
 2.151000000000000e+001,-2.668169042215954e-001,-3.565837834936758e-001,-3.490618702204842e-001
 2.152000000000000e+001,-2.666421752058166e-001,-3.554805953764171e-001,-3.490618078172127e-001
 2.153000000000000e+001,-2.664462598348252e-001,-3.543074201492373e-001,-3.490617451108943e-001
 2.154000000000000e+001,-2.662437429525191e-001,-3.530767351155060e-001,-3.490616826606866e-001
 2.155000000000000e+001,-2.660510082307895e-001,-3.518009429155751e-001,-3.490616206832752e-001
 2.156000000000000e+001,-2.658834606151814e-001,-3.504957093746652e-001,-3.490615591980945e-001
 2.157000000000000e+001,-2.657545858928964e-001,-3.491824781592439e-001,-3.490614981898215e-001
 2.158000000000000e+001,-2.656750832433470e-001,-3.478888274149683e-001,-3.490614377561002e-001
 2.159000000000000e+001,-2.656510430013568e-001,-3.466449047578988e-001,-3.490613781709334e-001
 2.160000000000000e+001,-2.656828071879651e-001,-3.454771465583226e-001,-3.490613198384065e-001
 2.161000000000000e+001,-2.657655825072484e-001,-3.444036084075544e-001,-3.490612632156888e-001
 2.162000000000000e+001,-2.658907634832458e-001,-3.434335504399602e-001,-3.490612087601819e-001
 2.163000000000000e+001,-2.660474451591633e-001,-3.425689339547979e-001,-3.490611568808480e-001
 2.164000000000000e+001,-2.662239388310471e-001,-3.418047884738895e-001,-3.490611078670299e-001
 2.165000000000000e+001,-2.664099820919040e-001,-3.411293029065290e-001,-3.490610618345454e-001
 2.166000000000000e+001,-2.665998074880119e-001,-3.405258423967927e-001,-3.490610187631079e-001
 2.167000000000000e+001,-2.667927332431030e-001,-3.399763739719619e-001,-3.490609785865751e-001
 2.168000000000000e+001,-2.669907658851119e-001,-3.394639430439064e-001,-3.490609412427829e-001
 2.169000000000000e+001,-2.671977483572068e-001,-3.389734852416528e-001,-3.490609066996874e-001
 2.170000000000000e+001,-2.674201206282501e-001,-3.384923485954710e-001,-3.490608749786061e-001
 2.171000000000000e+001,-2.676655695361375e-001,-3.380117765246264e-001,-3.490608461314889e-001
 2.172000000000000e+001,-2.679403987787312e-001,-3.375280194822794e-001,-3.490608201959399e-001
 2.173000000000000e+001,-2.682484753233686e-001,-3.370405421862732e-001,-3.490607971633861e-001
 2.174000000000000e+001,-2.685915501911584e-001,-3.365490428609133e-001,-3.490607769585058e-001
 2.175000000000000e+001,-2.689695462819558e-001,-3.360534929035308e-001,-3.490607594644426e-001
 2.176000000000000e+001,-2.693803755406043e-001,-3.355566158385310e-001,-3.490607445713991e-001
 2.177000000000000e+001,-2.698197615115088e-001,-3.350648161180032e-001,-3.490607322161121e-001
 2.178000000000000e+001,-2.702819038341457e-001,-3.345864129182263e-001,-3.490607224485643e-001
 2.179000000000000e+001,-2.707610642580914e-001,-3.341293505030585e-001,-3.490607154731232e-001
